Country Name,Country Code,Year,R&D_Expenditure_%GDP,Researchers_per_Million,Patent_Applications
Austria,AUT,2017,3.05656,5416.07999,2073.0
Belgium,BEL,2017,2.66666,4757.30821,1001.0
Bulgaria,BGR,2017,0.74037,2125.46017,202.0
Bosnia and Herzegovina,BIH,2017,0.1978,471.50932,87.0
Canada,CAN,2017,1.68702,4429.05796,4053.0
Switzerland,CHE,2017,3.07698,5257.33424,1337.0
Chile,CHL,2017,0.35679,494.62971,425.0
China,CHN,2017,2.11603,1235.84935,1245709.0
Colombia,COL,2017,0.26109,90.24729,595.0
Costa Rica,CRI,2017,0.42587,385.02378,19.0
Cyprus,CYP,2017,0.54259,1209.63685,8.0
Czechia,CZE,2017,1.76855,3718.34571,794.0
Germany,DEU,2017,3.0471,5058.39528,47785.0
Denmark,DNK,2017,2.93124,7647.61749,1490.0
Algeria,DZA,2017,0.47865,821.66519,149.0
East Asia & Pacific,EAS,2017,2.32062696054121,1489.63812290506,1684097.0
Europe & Central Asia,ECS,2017,2.03761530702517,3129.11852943395,222576.0
"Egypt, Arab Rep.",EGY,2017,0.64486,636.00218,1025.0
Spain,ESP,2017,1.20977,2847.3656,2167.0
Estonia,EST,2017,1.27685,3552.46537,37.0
Ethiopia,ETH,2017,0.27437,89.03843,14.0
Finland,FIN,2017,2.72787,6731.45341,1390.0
France,FRA,2017,2.19888,4546.76212,14415.0
United Kingdom,GBR,2017,2.32602,4472.69458,13301.0
Georgia,GEO,2017,0.26645,1381.93128,75.0
Greece,GRC,2017,1.15228,3250.61522,498.0
Guatemala,GTM,2017,0.02955,14.49246,3.0
High income,HIC,2017,2.54303670815066,4020.23174908603,911300.0
"Hong Kong SAR, China",HKG,2017,0.83519,3720.22457,324.0
Honduras,HND,2017,0.03994,34.42048,4.0
Croatia,HRV,2017,0.8415,1900.86092,148.0
Hungary,HUN,2017,1.31702,2902.24254,496.0
Indonesia,IDN,2017,0.23805,214.08281,2271.0
Ireland,IRL,2017,1.24866,5114.19434,62.0
"Iran, Islamic Rep.",IRN,2017,0.75983,1409.14676,15264.0
Iraq,IRQ,2017,0.04596,102.2908,613.0
Iceland,ISL,2017,2.08365,5979.72684,36.0
Italy,ITA,2017,1.37013,2322.42382,8643.0
Japan,JPN,2017,3.16636,5319.83455,260292.0
Kazakhstan,KAZ,2017,0.12667,650.77119,1055.0
"Korea, Rep.",KOR,2017,4.29206,7453.21918,159084.0
Sri Lanka,LKA,2017,0.11818,102.17296,277.0
Lithuania,LTU,2017,0.89626,3068.33424,81.0
Luxembourg,LUX,2017,1.23898,4969.23004,156.0
Latvia,LVA,2017,0.51104,1785.24003,90.0
"Macao SAR, China",MAC,2017,0.1721,3137.49004,1.0
Moldova,MDA,2017,0.25789,923.49386,73.0
Madagascar,MDG,2017,0.01275,29.61421,9.0
Mexico,MEX,2017,0.31955,273.56869,1334.0
Malta,MLT,2017,0.55232,2027.40143,5.0
North America,NAC,2017,2.79016033627039,3981.66076923223,297957.0
Netherlands,NLD,2017,2.17857,5273.17623,2241.0
Norway,NOR,2017,2.08167,6396.1696,1152.0
New Zealand,NZL,2017,1.34905,5035.55839,1014.0
Oman,OMN,2017,0.19925,251.8909,4.0
Pakistan,PAK,2017,0.21214,314.96263,193.0
Panama,PAN,2017,0.1353,105.81058,33.0
Poland,POL,2017,1.03785,2994.85672,3924.0
Portugal,PRT,2017,1.31928,4348.10903,644.0
Romania,ROU,2017,0.50693,887.74694,1098.0
Russian Federation,RUS,2017,1.10967,2811.96725,22777.0
Singapore,SGP,2017,1.89913,6950.10748,1609.0
El Salvador,SLV,2017,0.18078,65.55077,4.0
Serbia,SRB,2017,0.87238,2067.73261,171.0
Slovak Republic,SVK,2017,0.88456,2803.05136,183.0
Sweden,SWE,2017,3.36279,7316.6476,1992.0
Thailand,THA,2017,1.00166,1315.74983,979.0
Tunisia,TUN,2017,0.69954,1919.04269,172.0
Turkiye,TUR,2017,1.17632,1420.59574,8175.0
Ukraine,UKR,2017,0.44879,994.07744,2283.0
Upper middle income,UMC,2017,1.5178728358452,994.625165433929,1292700.0
Uruguay,URY,2017,0.44052,756.67885,23.0
United States,USA,2017,2.88357,3931.60035,293904.0
Uzbekistan,UZB,2017,0.14834,501.98291,357.0
Viet Nam,VNM,2017,0.41895,707.70007,592.0
South Africa,ZAF,2017,0.76257,516.53674,728.0
United Arab Emirates,ARE,2018,1.26389,2464.56964,57.0
Argentina,ARG,2018,0.4883,1220.93622,425.0
Austria,AUT,2018,3.09182,5682.44087,2039.0
Burundi,BDI,2018,0.21312,22.4816,2.0
Belgium,BEL,2018,2.86018,5040.00069,892.0
Bulgaria,BGR,2018,0.75413,2343.48736,180.0
Bosnia and Herzegovina,BIH,2018,0.19199,459.76526,84.0
Canada,CAN,2018,1.7372,4715.91861,4349.0
Chile,CHL,2018,0.36916,523.65457,406.0
China,CHN,2018,2.14058,1317.48914,1393815.0
Costa Rica,CRI,2018,0.37144,349.49117,8.0
Cuba,CUB,2018,0.53691,2053.96588,29.0
Cyprus,CYP,2018,0.61405,1408.18017,4.0
Czechia,CZE,2018,1.89906,3906.6782,678.0
Germany,DEU,2018,3.11011,5209.2143,46617.0
Denmark,DNK,2018,2.96603,7597.52556,1262.0
East Asia & Pacific,EAS,2018,2.36176756840058,1537.04680443279,1828229.0
Europe & Central Asia,ECS,2018,2.07614802000775,3093.26276114167,223725.0
"Egypt, Arab Rep.",EGY,2018,0.68839,645.44342,997.0
Spain,ESP,2018,1.24151,2984.29629,1525.0
Estonia,EST,2018,1.40999,3766.08146,24.0
Finland,FIN,2018,2.75749,6872.68968,1387.0
France,FRA,2018,2.19666,4670.53241,14303.0
Georgia,GEO,2018,0.27573,1544.7177,103.0
Greece,GRC,2018,1.21371,3416.08087,430.0
Guatemala,GTM,2018,0.02938,13.28356,6.0
High income,HIC,2018,2.61762145130196,4131.04319334159,900300.0
"Hong Kong SAR, China",HKG,2018,0.8633,3978.17159,314.0
Honduras,HND,2018,0.06394,201.94053,8.0
Croatia,HRV,2018,0.94312,1973.01528,121.0
Hungary,HUN,2018,1.50775,3846.48666,407.0
Indonesia,IDN,2018,0.22632,215.18755,1407.0
India,IND,2018,0.66001,250.00794,16289.0
Ireland,IRL,2018,1.10698,4656.77702,76.0
Iraq,IRQ,2018,0.04279,107.3521,653.0
Iceland,ISL,2018,2.00081,5645.66563,56.0
Italy,ITA,2018,1.42443,2524.31271,8921.0
Japan,JPN,2018,3.2192,5339.51713,253630.0
Kazakhstan,KAZ,2018,0.11683,650.01155,789.0
"Korea, Rep.",KOR,2018,4.51633,7918.46916,162561.0
Kuwait,KWT,2018,0.06349,502.98169,1.0
Sri Lanka,LKA,2018,0.11949,101.11335,343.0
Lithuania,LTU,2018,0.93662,3180.95498,81.0
Luxembourg,LUX,2018,1.1718,4754.92191,152.0
Latvia,LVA,2018,0.63869,1786.2773,86.0
"Macao SAR, China",MAC,2018,0.20113,3428.95417,1.0
Moldova,MDA,2018,0.25626,903.41782,92.0
Mexico,MEX,2018,0.29816,278.43618,1555.0
Malta,MLT,2018,0.57211,1904.9221,2.0
Montenegro,MNE,2018,0.50374,775.01569,3.0
Mauritius,MUS,2018,0.33387,465.4988,16.0
Malaysia,MYS,2018,1.04026,2110.44315,1116.0
North America,NAC,2018,2.89244117461709,4276.38960864208,289444.0
Netherlands,NLD,2018,2.1388,5496.79039,2111.0
Norway,NOR,2018,2.03482,6484.23611,1082.0
Oman,OMN,2018,0.19031,296.18652,16.0
Panama,PAN,2018,0.13359,107.17185,135.0
Philippines,PHL,2018,0.32222,170.21271,529.0
Poland,POL,2018,1.2061,3079.49249,4207.0
Portugal,PRT,2018,1.34955,4614.40041,661.0
Paraguay,PRY,2018,0.14684,152.27558,34.0
Romania,ROU,2018,0.49729,876.17129,1100.0
Russian Federation,RUS,2018,0.99002,2772.63667,24926.0
South Asia,SAS,2018,0.641760020059033,247.697205482982,17008.0
Singapore,SGP,2018,1.80947,7002.45715,1575.0
El Salvador,SLV,2018,0.16531,73.49466,3.0
Serbia,SRB,2018,0.91891,2075.98604,163.0
Slovak Republic,SVK,2018,0.83555,3003.38839,217.0
Slovenia,SVN,2018,1.94593,4880.49036,255.0
Sweden,SWE,2018,3.32106,7425.66896,1838.0
Thailand,THA,2018,1.11374,1712.15367,904.0
Trinidad and Tobago,TTO,2018,0.08139,543.60048,4.0
Tunisia,TUN,2018,0.71645,1789.95356,180.0
Turkiye,TUR,2018,1.27093,1585.08328,7156.0
Ukraine,UKR,2018,0.47113,988.07663,2107.0
Upper middle income,UMC,2018,1.59460473666759,1091.69344700294,1441100.0
United States,USA,2018,2.99045,4226.79136,285095.0
Uzbekistan,UZB,2018,0.12394,481.96007,470.0
World,WLD,2018,2.23194831470307,1516.09005066035,2386300.0
South Africa,ZAF,2018,0.68586,500.79079,657.0
United Arab Emirates,ARE,2019,1.31065,2476.63113,55.0
Argentina,ARG,2019,0.47813,1224.69939,442.0
Austria,AUT,2019,3.13265,5958.85643,2066.0
Azerbaijan,AZE,2019,0.20013,1715.46385,147.0
Belgium,BEL,2019,3.1566,5290.87935,876.0
Bulgaria,BGR,2019,0.83274,2420.08954,186.0
Bosnia and Herzegovina,BIH,2019,0.19001,451.01282,45.0
Canada,CAN,2019,1.75578,4850.93689,4238.0
Switzerland,CHE,2019,3.1968,5561.73019,1369.0
Chile,CHL,2019,0.34243,507.31033,438.0
China,CHN,2019,2.24463,1483.85803,1243568.0
Cuba,CUB,2019,0.55308,2136.67708,27.0
Cyprus,CYP,2019,0.70945,1657.72538,4.0
Czechia,CZE,2019,1.92734,4027.58714,765.0
Germany,DEU,2019,3.16701,5398.63462,46632.0
Denmark,DNK,2019,2.89685,7693.54905,1351.0
East Asia & Pacific,EAS,2019,2.40105645942139,1720.6069016903,1679298.0
Europe & Central Asia,ECS,2019,2.13391885912954,3181.24502772033,221382.0
"Egypt, Arab Rep.",EGY,2019,0.79617,776.5619,1027.0
Spain,ESP,2019,1.25025,3048.15265,1288.0
Estonia,EST,2019,1.62058,3770.42028,31.0
Finland,FIN,2019,2.79961,7245.85837,1321.0
France,FRA,2019,2.19179,4773.97249,14103.0
Georgia,GEO,2019,0.28197,1788.43187,85.0
Greece,GRC,2019,1.27499,3644.60084,356.0
Guatemala,GTM,2019,0.02642,14.95967,7.0
High income,HIC,2019,2.69819670583231,4258.84445281343,900200.0
"Hong Kong SAR, China",HKG,2019,0.92557,4240.38811,346.0
Croatia,HRV,2019,1.07027,2203.55061,195.0
Hungary,HUN,2019,1.47291,4021.15293,427.0
Indonesia,IDN,2019,0.27129,387.17063,3093.0
Ireland,IRL,2019,1.16068,4961.4389,58.0
"Iran, Islamic Rep.",IRN,2019,0.78829,1588.4273,11569.0
Iraq,IRQ,2019,0.03266,118.26846,737.0
Italy,ITA,2019,1.46159,2670.65345,9229.0
Japan,JPN,2019,3.21824,5376.11987,245372.0
"Korea, Rep.",KOR,2019,4.62703,8328.96727,171603.0
Lithuania,LTU,2019,0.99266,3445.30515,90.0
Luxembourg,LUX,2019,1.18177,5090.81552,117.0
Latvia,LVA,2019,0.63847,1891.24705,82.0
Moldova,MDA,2019,0.24145,823.53362,85.0
Mexico,MEX,2019,0.27606,282.18884,1305.0
Malta,MLT,2019,0.55993,1902.71628,5.0
Montenegro,MNE,2019,0.36328,764.41883,16.0
Mauritius,MUS,2019,0.35699,543.55651,4.0
North America,NAC,2019,3.04124023088312,4325.7488563704,289351.0
Nigeria,NGA,2019,0.28444,22.12011,439.0
Netherlands,NLD,2019,2.18435,5592.12175,2228.0
Norway,NOR,2019,2.136,6737.55318,957.0
New Zealand,NZL,2019,1.40803,5665.38305,324.0
Oman,OMN,2019,0.27255,382.86992,30.0
Pakistan,PAK,2019,0.17475,362.3767,313.0
Panama,PAN,2019,0.13624,110.65703,34.0
Poland,POL,2019,1.32335,3159.06604,3887.0
Portugal,PRT,2019,1.39562,4859.21726,703.0
Paraguay,PRY,2019,0.13751,169.35536,4.0
Romania,ROU,2019,0.47616,887.46612,881.0
Russian Federation,RUS,2019,1.03531,2734.68619,23337.0
Singapore,SGP,2019,1.88474,7509.61271,1727.0
El Salvador,SLV,2019,0.17477,75.70551,1.0
Serbia,SRB,2019,0.88667,2087.27636,168.0
Slovak Republic,SVK,2019,0.8224,3116.82472,206.0
Sweden,SWE,2019,3.38758,7685.83827,1802.0
Thailand,THA,2019,1.14317,1744.16222,865.0
Trinidad and Tobago,TTO,2019,0.0596,459.95724,1.0
Turkiye,TUR,2019,1.3196,1737.57621,7871.0
Ukraine,UKR,2019,0.43384,880.55411,2097.0
Upper middle income,UMC,2019,1.66708493929361,1222.64127027281,1289800.0
United States,USA,2019,3.14704,4265.92083,285113.0
Uzbekistan,UZB,2019,0.11306,422.11189,374.0
Viet Nam,VNM,2019,0.41652,754.61752,720.0
South Africa,ZAF,2019,0.61304,479.86558,567.0
United Arab Emirates,ARE,2020,1.48831,2581.47405,39.0
Argentina,ARG,2020,0.54126,1250.48347,930.0
Austria,AUT,2020,3.20278,5829.2859,2124.0
Azerbaijan,AZE,2020,0.2239,1732.37308,90.0
Belgium,BEL,2020,3.39175,5418.91258,862.0
Bulgaria,BGR,2020,0.84967,2401.16918,239.0
Bosnia and Herzegovina,BIH,2020,0.20325,446.11618,50.0
Belarus,BLR,2020,0.53901,1473.37761,317.0
Canada,CAN,2020,1.93414,5155.65021,4452.0
Chile,CHL,2020,0.33525,515.32026,372.0
China,CHN,2020,2.40666,1600.30633,1344817.0
Costa Rica,CRI,2020,0.33002,371.97029,12.0
Cuba,CUB,2020,0.51838,2121.90949,33.0
Cyprus,CYP,2020,0.83654,1739.85507,2.0
Czechia,CZE,2020,1.98599,4187.18471,673.0
Germany,DEU,2020,3.13136,5390.05249,42260.0
Denmark,DNK,2020,2.97258,7651.2843,1261.0
East Asia & Pacific,EAS,2020,2.58570735599471,1839.09362625821,1769228.0
Europe & Central Asia,ECS,2020,2.2004973536204,3191.1050267162,215964.0
"Egypt, Arab Rep.",EGY,2020,0.91564,790.65531,978.0
Spain,ESP,2020,1.4091,3051.64642,1431.0
Estonia,EST,2020,1.75315,3836.37969,21.0
Finland,FIN,2020,2.91243,7548.32504,1588.0
France,FRA,2020,2.27464,4883.2219,12771.0
Georgia,GEO,2020,0.29765,1799.17121,81.0
Greece,GRC,2020,1.51149,4008.18457,400.0
Guatemala,GTM,2020,0.04888,17.2968,7.0
High income,HIC,2020,2.8736191769429,4238.73937110299,870300.0
"Hong Kong SAR, China",HKG,2020,0.99236,4355.79712,423.0
Croatia,HRV,2020,1.22989,2295.44402,117.0
Hungary,HUN,2020,1.59252,4309.61589,428.0
Indonesia,IDN,2020,0.28068,395.34168,1309.0
India,IND,2020,0.64558,259.26325,23141.0
Ireland,IRL,2020,1.14551,5196.11055,75.0
Iraq,IRQ,2020,0.04053,136.59963,635.0
Italy,ITA,2020,1.5066,2614.68181,10061.0
Japan,JPN,2020,3.26458,5450.44287,227348.0
Kazakhstan,KAZ,2020,0.12602,668.82871,803.0
"Korea, Rep.",KOR,2020,4.79571,8620.009,180477.0
Sri Lanka,LKA,2020,0.11616,100.80931,353.0
Lithuania,LTU,2020,1.13261,3643.24539,95.0
Luxembourg,LUX,2020,1.09584,4688.80483,129.0
Latvia,LVA,2020,0.73439,2134.06006,93.0
"Macao SAR, China",MAC,2020,0.45327,3826.01324,3.0
Moldova,MDA,2020,0.23511,774.67919,85.0
Mexico,MEX,2020,0.29191,281.59287,1132.0
North Macedonia,MKD,2020,0.37264,868.87807,47.0
Malta,MLT,2020,0.64566,1964.91528,6.0
Mongolia,MNG,2020,0.13301,332.37478,66.0
Mauritius,MUS,2020,0.40299,558.19237,6.0
Malaysia,MYS,2020,0.95055,711.51035,989.0
North America,NAC,2020,3.31509481732004,4535.24877100525,274038.0
Netherlands,NLD,2020,2.32182,5799.27532,2198.0
Norway,NOR,2020,2.24436,6766.01432,880.0
Oman,OMN,2020,0.31599,374.1444,11.0
Panama,PAN,2020,0.23235,167.55608,22.0
Poland,POL,2020,1.38608,3260.15498,4010.0
Portugal,PRT,2020,1.61392,5131.43982,695.0
Paraguay,PRY,2020,0.15697,141.19046,14.0
Romania,ROU,2020,0.46538,942.32049,817.0
Russian Federation,RUS,2020,1.09099,2710.16353,23759.0
South Asia,SAS,2020,0.629398082132028,256.825157725473,23872.0
Saudi Arabia,SAU,2020,0.49802,512.05775,1294.0
Singapore,SGP,2020,2.15626,7503.32643,1778.0
El Salvador,SLV,2020,0.16299,59.77671,4.0
Serbia,SRB,2020,0.90558,2149.85336,138.0
Slovak Republic,SVK,2020,0.89773,3167.43232,206.0
Slovenia,SVN,2020,2.14156,5187.16109,232.0
Sweden,SWE,2020,3.4896,7754.64384,1764.0
Thailand,THA,2020,1.32818,2018.34788,863.0
Trinidad and Tobago,TTO,2020,0.06512,604.73029,1.0
Turkiye,TUR,2020,1.36748,1964.65668,7920.0
Ukraine,UKR,2020,0.40318,846.24846,1361.0
Upper middle income,UMC,2020,1.83356603715537,1282.81411400432,1391200.0
United States,USA,2020,3.42467,4464.09495,269586.0
Uzbekistan,UZB,2020,0.1385,426.4918,356.0
South Africa,ZAF,2020,0.6024,459.98774,542.0
United Arab Emirates,ARE,2021,1.49469,2606.78477,69.0
Argentina,ARG,2021,0.52216,1288.13477,406.0
Austria,AUT,2021,3.26361,6323.00331,1872.0
Azerbaijan,AZE,2021,0.20836,1743.43016,119.0
Belgium,BEL,2021,3.39239,6596.70594,799.0
Bulgaria,BGR,2021,0.77278,2346.69591,165.0
Bosnia and Herzegovina,BIH,2021,0.19035,445.69281,53.0
Belarus,BLR,2021,0.45981,1439.1965,276.0
Canada,CAN,2021,1.86431,5411.82682,4710.0
Switzerland,CHE,2021,3.30645,6021.39855,1288.0
Chile,CHL,2021,0.36041,638.83802,402.0
China,CHN,2021,2.4326,1685.97511,1426644.0
Costa Rica,CRI,2021,0.27385,406.58119,15.0
Cuba,CUB,2021,0.32282,2099.70203,21.0
Cyprus,CYP,2021,0.8003,1743.06674,1.0
Czechia,CZE,2021,1.99601,4560.45106,541.0
Germany,DEU,2021,3.12882,5520.57631,39822.0
Denmark,DNK,2021,2.76142,7708.2373,1090.0
"Egypt, Arab Rep.",EGY,2021,0.91175,808.43512,881.0
Spain,ESP,2021,1.41122,3229.64887,1308.0
Estonia,EST,2021,1.76766,4036.13127,25.0
Finland,FIN,2021,2.9885,7870.42868,1557.0
France,FRA,2021,2.21808,5058.05374,13386.0
Georgia,GEO,2021,0.24875,1702.96062,90.0
Greece,GRC,2021,1.45782,4244.36826,394.0
Guatemala,GTM,2021,0.05863,14.52588,9.0
"Hong Kong SAR, China",HKG,2021,0.97026,4591.73346,401.0
Croatia,HRV,2021,1.23124,2414.42218,77.0
Hungary,HUN,2021,1.64379,4452.48668,433.0
Ireland,IRL,2021,1.11065,5213.43167,75.0
"Iran, Islamic Rep.",IRN,2021,0.72665,2239.74005,10210.0
Iceland,ISL,2021,2.77875,6941.30115,34.0
Italy,ITA,2021,1.42658,2658.8949,10281.0
Japan,JPN,2021,3.27677,5589.76698,222452.0
"Korea, Rep.",KOR,2021,4.90988,9071.4503,186245.0
Lithuania,LTU,2021,1.10436,3946.51068,81.0
Luxembourg,LUX,2021,1.0412,4939.08633,112.0
Latvia,LVA,2021,0.74622,2395.27344,104.0
"Macao SAR, China",MAC,2021,0.37318,4092.52683,2.0
Moldova,MDA,2021,0.23154,781.24167,64.0
Mexico,MEX,2021,0.27378,273.14814,1117.0
North Macedonia,MKD,2021,0.37252,843.87245,42.0
Malta,MLT,2021,0.65205,2157.55518,5.0
Mongolia,MNG,2021,0.10008,681.35643,109.0
Mauritius,MUS,2021,0.36784,564.33636,6.0
Netherlands,NLD,2021,2.26877,6003.86605,2080.0
Norway,NOR,2021,1.88764,7228.72168,946.0
New Zealand,NZL,2021,1.46569,5094.76159,330.0
Oman,OMN,2021,0.28978,332.10768,30.0
Pakistan,PAK,2021,0.16431,401.38994,426.0
Panama,PAN,2021,0.17688,134.74424,35.0
Poland,POL,2021,1.43183,3558.20467,3377.0
Portugal,PRT,2021,1.67051,5430.93667,711.0
Paraguay,PRY,2021,0.14398,142.72905,10.0
Qatar,QAT,2021,0.68058,947.77921,47.0
Romania,ROU,2021,0.47234,988.67695,772.0
Russian Federation,RUS,2021,0.95857,2662.4691,19569.0
Saudi Arabia,SAU,2021,0.44266,794.29927,1398.0
El Salvador,SLV,2021,0.16252,65.31984,2.0
Serbia,SRB,2021,0.99379,2206.70833,138.0
Slovak Republic,SVK,2021,0.91611,3211.13115,146.0
Slovenia,SVN,2021,2.128,5235.17998,222.0
Sweden,SWE,2021,3.40216,8159.79705,1771.0
Thailand,THA,2021,1.20807,1695.79586,867.0
Trinidad and Tobago,TTO,2021,0.05374,539.19183,2.0
Turkiye,TUR,2021,1.40209,2209.69913,8234.0
Ukraine,UKR,2021,0.38478,774.07275,1302.0
United States,USA,2021,3.48313,4825.1804,262244.0
Uzbekistan,UZB,2021,0.1316,523.87885,413.0
Viet Nam,VNM,2021,0.42494,767.88667,1066.0
South Africa,ZAF,2021,0.61503,454.79773,1804.0
